Reference ID,Country,Validation Date,Amount,Currency,Rating,Type,Maturity
XZT1,UNITED STATES OF AMERICA,01/03/2019,7865000,USD,A,3,01/11/2047
XZT2,AUSTRALIA,01/03/2019,3253000,USD,CCC,2,31/03/2043
XZT3,UNITED KINGDOM,01/01/2019,3504000,USD,AA,3,01/11/2043
XZT4,BRAZIL,01/03/2019,1181000,USD,AAA,1,01/02/2033
XZT5,MEXICO,01/04/2019,6377000,USD,BBB,2,01/03/2043
XZT6,AUSTRALIA,01/04/2019,3960000,USD,A,3,01/06/2048
XZT7,AUSTRALIA,01/04/2019,6116000,GBP,B,2,01/07/2028
XZT8,MEXICO,01/02/2019,1530000,USD,BB,3,01/10/2022
XZT9,MEXICO,01/03/2019,6615000,CHF,AA,2,08/31/2034
XZT10,GERMANY,01/02/2019,8243000,USD,BB,1,01/02/2043
XZT11,SOUTH KOREA,01/02/2019,9023000,USD,AAA,2,01/05/2020
XZT12,BELGIUM,01/04/2019,8467000,USD,BBB,1,01/11/2038
XZT13,EGYPT,01/03/2019,1455000,USD,AAA,1,31/08/2045
XZT14,EGYPT,01/04/2019,6608000,USD,AA,1,01/09/2041
XZT15,FRANCE,01/01/2019,2541000,USD,CCC,1,01/11/2037
XZT16,SOUTH KOREA,01/04/2019,6230000,EUR,AA,2,01/09/2023
XZT17,UNITED STATES OF AMERICA,01/04/2019,7137000,USD,B,2,01/05/2037
XZT18,UNITED STATES OF AMERICA,01/03/2019,9898000,USD,A,2,01/07/2045
XZT19,UNITED KINGDOM,01/02/2019,782000,USD,BB,3,01/07/2030
XZT20,JAPAN,01/03/2019,4247000,GBP,AA,3,01/10/2044
XZT21,UNITED STATES OF AMERICA,01/04/2019,1622000,USD,BBB,2,03/31/2037
XZT22,UNITED STATES OF AMERICA,01/02/2019,1997000,USD,BB,2,08/01/2033
XZT23,SPAIN,01/03/2019,6805000,USD,AAA,2,01/12/2048
XZT24,MEXICO,01/01/2019,9499000,USD,AA,1,01/11/2045
XZT25,CHINA,01/03/2019,7236000,EUR,BB,2,01/08/2029
XZT26,EGYPT,01/03/2019,4364000,USD,AA,2,01/10/2020
XZT27,UNITED STATES OF AMERICA,01/03/2019,4269000,USD,AA,2,01/03/2027
XZT28,UNITED STATES OF AMERICA,01/03/2019,277000,USD,B,2,01/10/2025
XZT29,GERMANY,01/02/2019,5792000,USD,A,2,01/10/2048
XZT30,UNITED STATES OF AMERICA,01/03/2019,7208000,USD,AA,3,01/02/2034
XZT31,AUSTRALIA,01/04/2019,9313000,USD,BB,1,05/01/2022
XZT32,GERMANY,01/04/2019,7022000,CHF,BB,1,01/12/2021
XZT33,AUSTRALIA,01/02/2019,4490000,EUR,BB,3,01/08/2033
XZT34,UNITED KINGDOM,01/03/2019,2177000,USD,BB,2,01/05/2031
XZT35,GERMANY,01/04/2019,3369000,USD,AA,1,01/12/2032
XZT36,JAPAN,01/03/2019,2519000,USD,B,2,01/07/2023
XZT37,UNITED STATES OF AMERICA,01/03/2019,586000,USD,BBB,3,01/05/2019
XZT38,UNITED STATES OF AMERICA,01/02/2019,406000,USD,A,2,01/03/2043
XZT39,SOUTH KOREA,01/03/2019,8907000,USD,CCC,3,01/05/2032
XZT40,MEXICO,01/02/2019,5110000,GBP,A,1,01/06/2030
XZT41,SWITZERLAND,01/04/2019,8405000,USD,AA,3,01/01/2028
XZT42,GERMANY,01/03/2019,7848000,GBP,AAA,1,01/10/2035
XZT43,UNITED STATES OF AMERICA ,01/04/2019,8493000,GBP,BB,2,05/01/2043
XZT44,CHINA,01/03/2019,5636000,GBP,A,2,01/09/2029
XZT45,GERMANY,01/04/2019,7255000,USD,AA,1,01/06/2024
XZT46,POLAND,01/03/2019,7143000,USD,AA,2,01/11/2039
XZT47,POLAND,01/01/2019,5983000,USD,AA,2,05/01/2028
XZT48,POLAND,01/04/2019,5680000,USD,AAA,1,01/12/2032
XZT49,AUSTRALIA,01/04/2019,2092000,USD,AA,2,31/03/2047
XZT50,SOUTH KOREA,01/02/2019,224000,EUR,B,1,01/02/2030
XZT51,SOUTH KOREA,01/01/2019,3357000,EUR,AAA,1,01/03/2033
XZT52,UNITED STATES OF AMERICA,01/03/2019,8876000,USD,AAA,1,01/09/2039
XZT53,SOUTH KOREA,01/02/2019,682000,USD,AAA,2,01/10/2029
XZT54,POLAND,01/03/2019,7641000,USD,AAA,3,01/05/2028
XZT55,UNITED STATES OF AMERICA,01/02/2019,8315000,GBP,A,3,01/11/2023
XZT56,UNITED STATES OF AMERICA,01/04/2019,2677000,USD,AA,1,01/09/2046
XZT57,AUSTRIA,01/03/2019,7455000,USD,AAA,1,01/03/2036
XZT58,BELGIUM,01/03/2019,7643000,USD,B,1,01/03/2047
XZT59,JAPAN,01/02/2019,9586000,CHF,BB,2,01/07/2036
XZT60,UNITED STATES OF AMERICA,01/02/2019,547000,USD,BB,3,01/01/2022
XZT61,SOUTH KOREA,01/04/2019,7755000,EUR,A,1,01/07/2025
XZT62,POLAND,01/02/2019,3615000,USD,A,1,01/11/2022
XZT63,AUSTRALIA,01/01/2019,4555000,USD,AA,1,01/06/2019
XZT64,MEXICO,01/04/2019,8367000,USD,A,1,03/01/2034
XZT65,GERMANY,01/02/2019,241000,AUD,BBB,2,01/12/2020
XZT66,BRAZIL,01/03/2019,2312000,Swiss Franc,BBB,1,01/05/2041
XZT67,UNITED STATES OF AMERICA,01/04/2019,4025000,USD,AA,3,01/07/2048
XZT68,SOUTH KOREA,01/04/2019,4933000,USD,BBB,1,01/09/2040
XZT69,UNITED STATES OF AMERICA,01/04/2019,674000,GBP,AA,2,01/01/2035
XZT70,AUSTRALIA,01/04/2019,5031000,USD,BB,2,01/01/2046
XZT71,JAPAN,01/02/2019,9403000,USD,BBB,2,11/01/2031
XZT72,EGYPT,01/02/2019,311000,CAD,B,1,01/08/2041
XZT73,AUSTRALIA,01/04/2019,1941000,USD,AAA,1,01/11/2036
XZT74,CANADA,01/03/2019,2526000,CHF,AA,1,01/01/2031
XZT75,SOUTH KOREA,01/02/2019,9495000,USD,AA,3,01/10/2030
XZT76,UNITED KINGDOM,01/04/2019,5535000,USD,BBB,3,01/10/2024
XZT77,UNITED STATES OF AMERICA,01/03/2019,1058000,USD,AA,2,01/03/2034
XZT78,EGYPT,01/03/2019,7015000,USD,AA,2,01/11/2045
XZT79,JAPAN,01/04/2019,6956000,USD,AA,1,31/10/2019
XZT80,EGYPT,01/02/2019,3924000,GBP,AA,1,01/05/2044
XZT81,UNITED KINGDOM,01/03/2019,4753000,USD,A,1,12/01/2046
XZT82,AUSTRALIA,01/02/2019,7661000,USD,A,2,01/11/2048
XZT83,GERMANY,01/04/2019,7392000,USD,AA,2,01/10/2033
XZT84,AUSTRALIA,01/01/2019,5231000,GBP,AA,2,01/08/2046
XZT85,UNITED STATES OF AMERICA,01/02/2019,8103000,USD,A,2,01/09/2028
XZT86,POLAND,01/02/2019,9408000,EUR,A,3,01/06/2041
XZT87,SWITZERLAND,01/01/2019,8344000,EUR,AA,2,01/07/2032
XZT88,POLAND,01/02/2019,7496000,USD,AA,3,01/01/2037
XZT89,MEXICO,01/02/2019,6664000,USD,A,2,01/09/2036
XZT90,POLAND,01/04/2019,213000,EUR,A,2,01/05/2022
XZT91,UNITED STATES OF AMERICA,01/03/2019,876000000000,EUR,BB,3,01/11/2042
XZT92,SWITZERLAND,01/02/2019,3610000,EUR,A,2,01/02/2029
XZT93,AUSTRALIA,01/02/2019,8620000,USD,AA,3,01/12/2037
XZT94,UNITED STATES OF AMERICA,01/04/2019,1386000,GBP,BB,2,01/07/2038
XZT95,AUSTRALIA,01/04/2019,4173000,USD,AAA,2,01/05/2038
XZT96,BELGIUM ,01/02/2019,9124000,CHF,AAA,2,01/12/2026
XZT97,CANADA,01/04/2019,5709000,USD,A,3,01/05/2037
XZT98,POLAND,01/03/2019,3053000,EUR,AA,1,01/07/2026
XZT99,CANADA,01/01/2019,3778000,CHF,A,3,01/08/2045
XZT100,MEXICO,01/02/2019,5187000,USD,AA,2,01/05/2022
XZT101,CANADA,01/03/2019,8125000,USD,B,3,01/10/2029
XZT102,AUSTRALIA,01/02/2019,2168000,USD,BBB,1,01/03/2031
XZT103,MEXICO,01/01/2019,6234000,EUR,AA,2,01/06/2027
XZT104,AUSTRALIA,01/03/2019,6928000,USD,AA,1,01/09/2041
XZT105,GERMANY,01/02/2019,968000,USD,AA,1,01/05/2027
XZT106,AUSTRALIA,01/02/2019,8675000,AUD,BB,1,01/05/2021
XZT107,SOUTH KOREA,01/01/2019,5193000,GBP,BB,2,01/12/2024
XZT108,SOUTH KOREA,01/02/2019,4702000,USD,AA,2,01/02/2024
XZT109,POLAND,01/04/2019,6081000,GBP,A,2,01/08/2021
XZT110,MEXICO,01/03/2019,8135000,USD,A,2,01/04/2044
XZT111,GERMANY,01/04/2019,8688000,USD,A,1,28/02/2023
XZT112,SWITZERLAND,01/02/2019,2456000,USD,A,3,01/07/2042
XZT113,RUSSIA,01/01/2019,9024000,USD,AA,1,01/04/2047
XZT114,UNITED STATES OF AMERICA,01/03/2019,35000,USD,AA,2,31/07/2031
XZT115,URUGUAY,01/03/2019,339000,USD,CCC,2,01/09/2047
XZT116,UNITED STATES OF AMERICA,01/01/2019,7293000,GBP,AA,3,01/02/2024
XZT117,MEXICO,01/04/2019,9109000,USD,B,1,01/04/2046
XZT118,GERMANY,01/02/2019,8686000,USD,CCC,2,01/07/2032
XZT119,UNITED KINGDOM,01/04/2019,2408000,USD,A,3,01/08/2032
